neighbourhood_group,room_type,minimum_nights,amenity_score,number_of_reviews,availability_365,price_class
Manhattan,Entire home/apt,4.0,81.6,2.0,0.0,3
Manhattan,Entire home/apt,3.0,80.4,7.0,307.0,3
Brooklyn,Private room,1.0,41.8,9.0,66.0,1
Manhattan,Private room,1.0,39.9,8.0,0.0,1
,Entire home/apt,2.0,41.8,2.0,32.0,1
Bronx,Private room,1.0,46.2,48.0,296.0,1
Brooklyn,Entire home/apt,1.0,73.9,1.0,83.0,2
Manhattan,Private room,1.0,34.8,19.0,0.0,1
Brooklyn,Entire home/apt,4.0,32.5,2.0,84.0,1
Queens,Private room,1.0,37.4,48.0,128.0,1
Queens,Private room,5.0,48.0,8.0,170.0,1
Manhattan,Private room,1.0,48.4,2.0,0.0,1
Bronx,Private room,2.0,26.7,11.0,188.0,0
Manhattan,Entire home/apt,3.0,70.4,21.0,24.0,2
Manhattan,Entire home/apt,30.0,78.5,2.0,273.0,2
Brooklyn,Private room,5.0,43.4,0.0,0.0,1
Manhattan,Private room,7.0,56.1,17.0,309.0,1
Brooklyn,Entire home/apt,2.0,86.0,250.0,307.0,3
,Entire home/apt,30.0,66.3,0.0,155.0,2
,Private room,5.0,43.3,1.0,48.0,1
Manhattan,Entire home/apt,3.0,81.5,2.0,0.0,2
Manhattan,Private room,,31.0,1.0,0.0,1
Brooklyn,Entire home/apt,1.0,62.2,1.0,0.0,1
Queens,Private room,,31.7,49.0,0.0,1
Queens,Shared room,2.0,46.5,0.0,365.0,1
Manhattan,Entire home/apt,6.0,94.5,0.0,0.0,3
Brooklyn,Private room,14.0,53.8,16.0,67.0,1
Queens,Entire home/apt,2.0,66.4,2.0,153.0,2
Brooklyn,Private room,21.0,21.1,5.0,0.0,0
Manhattan,Private room,5.0,33.0,2.0,0.0,1
Manhattan,Private room,14.0,41.1,4.0,66.0,1
Manhattan,Entire home/apt,30.0,84.1,0.0,325.0,2
Brooklyn,Private room,1.0,53.7,1.0,0.0,1
Brooklyn,Private room,3.0,45.1,3.0,0.0,1
Queens,Private room,3.0,18.8,1.0,0.0,0
,Entire home/apt,3.0,58.9,1.0,74.0,1
Manhattan,Private room,1.0,36.4,77.0,0.0,1
Brooklyn,Entire home/apt,3.0,,10.0,0.0,2
Manhattan,Entire home/apt,3.0,92.4,8.0,91.0,3
Manhattan,Entire home/apt,2.0,77.8,2.0,317.0,2
Brooklyn,Entire home/apt,3.0,36.8,308.0,99.0,1
Manhattan,Entire home/apt,4.0,61.7,4.0,0.0,2
Manhattan,Entire home/apt,4.0,45.8,78.0,26.0,1
Brooklyn,Entire home/apt,3.0,73.8,26.0,74.0,2
Brooklyn,Private room,2.0,40.2,49.0,149.0,1
Manhattan,Private room,1.0,36.8,2.0,0.0,1
Queens,Private room,1.0,,0.0,82.0,0
Queens,Private room,21.0,50.1,22.0,0.0,1
Queens,Entire home/apt,2.0,31.4,59.0,36.0,1
Brooklyn,Entire home/apt,2.0,84.7,0.0,328.0,2
Brooklyn,Private room,5.0,52.2,1.0,6.0,1
Brooklyn,Private room,7.0,33.7,0.0,0.0,0
Brooklyn,Entire home/apt,3.0,74.1,,0.0,2
Manhattan,Entire home/apt,1.0,60.0,46.0,31.0,2
Manhattan,Entire home/apt,2.0,53.6,0.0,39.0,1
Brooklyn,Entire home/apt,15.0,37.0,0.0,0.0,1
Queens,Private room,30.0,14.4,1.0,1.0,0
Manhattan,Private room,1.0,59.0,35.0,156.0,1
Manhattan,Entire home/apt,30.0,66.0,5.0,147.0,2
Manhattan,Shared room,14.0,31.6,2.0,320.0,0
Queens,Entire home/apt,1.0,28.9,64.0,96.0,1
Queens,Private room,1.0,26.1,127.0,52.0,0
Brooklyn,Private room,1.0,29.1,0.0,0.0,0
Manhattan,Private room,1.0,62.5,3.0,85.0,1
Bronx,Entire home/apt,2.0,65.4,0.0,167.0,1
Brooklyn,Entire home/apt,3.0,61.8,60.0,197.0,1
Manhattan,Entire home/apt,30.0,66.3,3.0,104.0,1
Bronx,Private room,1.0,52.7,36.0,57.0,1
Brooklyn,Private room,1.0,41.6,1.0,0.0,1
Brooklyn,Private room,2.0,28.4,69.0,60.0,1
Manhattan,Private room,7.0,45.2,71.0,171.0,1
Brooklyn,Private room,2.0,16.0,0.0,0.0,0
Manhattan,Entire home/apt,30.0,47.3,10.0,126.0,1
Brooklyn,Private room,2.0,61.0,4.0,0.0,2
Manhattan,,1.0,69.1,5.0,61.0,2
Manhattan,Private room,30.0,10.7,3.0,207.0,0
Manhattan,Entire home/apt,2.0,93.2,0.0,0.0,3
Manhattan,Entire home/apt,2.0,65.2,7.0,347.0,2
Manhattan,Entire home/apt,15.0,61.9,33.0,,1
Queens,Private room,1.0,32.1,0.0,365.0,1
Manhattan,Entire home/apt,3.0,86.0,1.0,0.0,2
Brooklyn,Private room,3.0,32.3,74.0,284.0,0
Brooklyn,Private room,1.0,45.7,37.0,294.0,1
Manhattan,Entire home/apt,30.0,46.2,6.0,203.0,1
Manhattan,Entire home/apt,5.0,75.1,1.0,0.0,3
Brooklyn,Entire home/apt,2.0,54.6,3.0,0.0,1
Manhattan,Entire home/apt,2.0,85.2,51.0,11.0,2
Brooklyn,Private room,3.0,32.4,4.0,0.0,0
Manhattan,Private room,3.0,60.2,,0.0,1
Brooklyn,Private room,3.0,52.9,126.0,0.0,1
Brooklyn,Entire home/apt,4.0,65.6,17.0,9.0,1
Manhattan,Entire home/apt,3.0,89.1,9.0,364.0,3
Brooklyn,Entire home/apt,3.0,67.9,1.0,256.0,2
Brooklyn,Entire home/apt,,30.7,4.0,0.0,1
,Private room,1.0,33.0,3.0,6.0,0
Manhattan,Entire home/apt,2.0,77.8,26.0,10.0,3
Brooklyn,Private room,3.0,15.6,11.0,66.0,0
Brooklyn,Entire home/apt,3.0,86.2,0.0,31.0,3
Brooklyn,Private room,1.0,29.1,2.0,0.0,0
Brooklyn,Entire home/apt,,44.7,2.0,0.0,1
Manhattan,Entire home/apt,14.0,79.6,10.0,335.0,3
Queens,Entire home/apt,1.0,45.0,137.0,197.0,1
Manhattan,Entire home/apt,1.0,62.4,388.0,142.0,1
Manhattan,Private room,3.0,67.7,1.0,65.0,1
,Private room,4.0,49.9,7.0,0.0,1
Brooklyn,Entire home/apt,2.0,,1.0,321.0,2
Brooklyn,Entire home/apt,3.0,52.4,10.0,10.0,1
Manhattan,Entire home/apt,30.0,83.2,0.0,249.0,3
Brooklyn,Entire home/apt,4.0,92.3,13.0,179.0,3
Bronx,Entire home/apt,2.0,66.0,0.0,173.0,2
,Entire home/apt,2.0,75.3,7.0,201.0,2
Queens,Entire home/apt,4.0,48.9,14.0,17.0,1
Brooklyn,Entire home/apt,2.0,42.2,4.0,0.0,1
Brooklyn,Entire home/apt,30.0,36.6,16.0,318.0,1
Manhattan,Entire home/apt,30.0,50.9,18.0,189.0,1
Brooklyn,Private room,1.0,10.9,43.0,14.0,0
Manhattan,Entire home/apt,2.0,68.4,16.0,0.0,2
Brooklyn,Private room,1.0,34.2,155.0,328.0,1
Manhattan,Entire home/apt,30.0,68.4,0.0,284.0,2
Queens,Private room,,70.0,3.0,88.0,2
Staten Island,Shared room,2.0,60.7,2.0,312.0,1
Brooklyn,Entire home/apt,3.0,48.3,1.0,281.0,1
Brooklyn,Entire home/apt,1.0,56.6,3.0,0.0,1
Brooklyn,Entire home/apt,10.0,75.6,1.0,189.0,2
Manhattan,Private room,2.0,66.5,25.0,19.0,1
Brooklyn,,1.0,30.2,3.0,0.0,0
Brooklyn,Private room,6.0,25.9,4.0,0.0,0
Manhattan,Private room,3.0,52.0,2.0,238.0,1
Brooklyn,Entire home/apt,4.0,77.6,50.0,331.0,2
Manhattan,Entire home/apt,29.0,61.3,0.0,342.0,2
Brooklyn,Private room,1.0,33.5,230.0,353.0,1
Manhattan,Entire home/apt,3.0,65.2,22.0,128.0,2
Brooklyn,Entire home/apt,2.0,56.3,9.0,0.0,2
Manhattan,Entire home/apt,5.0,77.5,0.0,0.0,2
Manhattan,Entire home/apt,5.0,78.5,22.0,87.0,2
Manhattan,Entire home/apt,7.0,77.8,29.0,237.0,2
Manhattan,Private room,2.0,45.7,2.0,0.0,1
Queens,Private room,1.0,41.4,45.0,57.0,1
Manhattan,Entire home/apt,1.0,65.7,161.0,347.0,2
Queens,Entire home/apt,2.0,59.1,13.0,288.0,1
Brooklyn,Entire home/apt,2.0,61.5,4.0,75.0,1
Manhattan,Entire home/apt,3.0,54.6,40.0,4.0,1
Bronx,Entire home/apt,1.0,72.4,13.0,0.0,2
Brooklyn,Shared room,1.0,15.7,117.0,118.0,0
Staten Island,Private room,1.0,50.1,0.0,0.0,1
Queens,Private room,1.0,14.0,26.0,0.0,0
Manhattan,Private room,2.0,38.0,15.0,284.0,1
Brooklyn,Private room,1.0,50.9,,1.0,1
Brooklyn,Entire home/apt,5.0,91.6,8.0,175.0,3
Manhattan,Entire home/apt,1.0,53.8,0.0,0.0,1
Bronx,Shared room,1.0,24.7,17.0,319.0,0
Brooklyn,Entire home/apt,2.0,71.6,19.0,102.0,2
Queens,Entire home/apt,21.0,34.5,0.0,0.0,1
Manhattan,Entire home/apt,3.0,48.9,3.0,0.0,1
Manhattan,Private room,30.0,77.4,1.0,90.0,2
Manhattan,Private room,1.0,79.2,2.0,179.0,2
Brooklyn,Private room,2.0,67.6,0.0,0.0,1
Manhattan,Private room,2.0,37.1,36.0,0.0,1
Manhattan,Private room,2.0,89.1,130.0,139.0,3
Manhattan,Private room,3.0,50.1,0.0,0.0,1
Manhattan,Private room,6.0,35.1,62.0,317.0,1
Brooklyn,Entire home/apt,,56.8,,0.0,1
Manhattan,Entire home/apt,26.0,36.6,4.0,58.0,1
Brooklyn,Entire home/apt,1.0,32.5,,55.0,1
Brooklyn,Entire home/apt,30.0,51.0,23.0,221.0,1
Manhattan,Entire home/apt,30.0,29.0,,336.0,1
Brooklyn,Private room,2.0,47.0,28.0,359.0,1
Manhattan,Entire home/apt,1.0,76.3,59.0,73.0,2
,Private room,2.0,30.5,26.0,75.0,1
Brooklyn,Private room,3.0,32.6,4.0,316.0,1
Brooklyn,Private room,2.0,47.4,4.0,0.0,1
Brooklyn,Entire home/apt,3.0,69.1,1.0,0.0,2
Manhattan,Private room,1.0,30.5,7.0,0.0,1
Manhattan,Entire home/apt,30.0,48.4,15.0,309.0,1
Manhattan,Entire home/apt,5.0,55.5,39.0,0.0,2
Queens,Entire home/apt,3.0,60.7,133.0,336.0,2
Manhattan,Private room,1.0,75.5,0.0,0.0,2
Brooklyn,Private room,2.0,47.4,25.0,0.0,1
Manhattan,Entire home/apt,3.0,56.7,14.0,0.0,2
Manhattan,Private room,1.0,63.9,108.0,116.0,1
,Entire home/apt,10.0,56.3,2.0,24.0,1
Manhattan,Private room,3.0,91.9,0.0,201.0,3
Manhattan,Private room,1.0,44.2,0.0,0.0,1
Queens,Entire home/apt,2.0,60.7,11.0,335.0,1
Queens,Entire home/apt,2.0,67.9,93.0,34.0,1
Brooklyn,Entire home/apt,1.0,70.3,1.0,0.0,2
Brooklyn,Private room,1.0,44.8,1.0,0.0,1
Brooklyn,Private room,3.0,40.4,5.0,0.0,1
Brooklyn,Entire home/apt,4.0,55.9,7.0,0.0,2
Queens,Entire home/apt,3.0,55.3,2.0,0.0,2
Manhattan,Entire home/apt,1.0,47.7,124.0,,1
Queens,Private room,1.0,26.2,16.0,361.0,0
Manhattan,Private room,1.0,43.3,8.0,236.0,1
Bronx,Private room,1.0,23.8,6.0,0.0,0
,Entire home/apt,2.0,55.7,12.0,3.0,2
Queens,Entire home/apt,3.0,65.8,0.0,0.0,2
Manhattan,Entire home/apt,5.0,76.3,42.0,267.0,2
Brooklyn,Entire home/apt,2.0,74.1,35.0,190.0,2
Bronx,Entire home/apt,4.0,44.9,5.0,0.0,1
Brooklyn,Entire home/apt,1.0,62.9,1.0,167.0,1
,Private room,2.0,49.2,29.0,240.0,1
Manhattan,Private room,2.0,42.0,10.0,127.0,1
Brooklyn,Private room,3.0,51.2,11.0,170.0,1
Brooklyn,Entire home/apt,2.0,38.6,26.0,323.0,1
Brooklyn,Entire home/apt,4.0,75.4,23.0,25.0,2
Manhattan,Entire home/apt,14.0,34.5,1.0,16.0,1
Brooklyn,Private room,2.0,35.6,2.0,0.0,1
Manhattan,Entire home/apt,30.0,,15.0,336.0,2
Brooklyn,Entire home/apt,7.0,63.3,8.0,43.0,1
Manhattan,Entire home/apt,2.0,74.6,129.0,107.0,2
Manhattan,Private room,1.0,60.3,0.0,0.0,2
Brooklyn,Private room,4.0,60.3,0.0,170.0,2
Brooklyn,Entire home/apt,3.0,65.7,1.0,38.0,1
Brooklyn,Entire home/apt,2.0,64.2,0.0,0.0,1
Queens,Private room,1.0,42.9,17.0,188.0,1
Queens,Private room,15.0,44.6,14.0,16.0,1
Brooklyn,Private room,2.0,21.9,32.0,358.0,0
Brooklyn,Entire home/apt,30.0,38.6,99.0,318.0,1
Manhattan,Entire home/apt,1.0,66.1,198.0,250.0,1
Brooklyn,Entire home/apt,2.0,57.9,1.0,0.0,2
Bronx,Private room,2.0,20.5,15.0,220.0,0
Manhattan,Entire home/apt,45.0,62.9,6.0,365.0,2
Brooklyn,Entire home/apt,1.0,56.5,19.0,281.0,1
Manhattan,Entire home/apt,2.0,84.2,13.0,341.0,3
Brooklyn,Private room,1.0,42.0,33.0,19.0,1
Brooklyn,Entire home/apt,,58.2,1.0,86.0,2
Manhattan,Entire home/apt,5.0,66.8,0.0,45.0,2
Brooklyn,Entire home/apt,7.0,34.5,45.0,161.0,1
Queens,Entire home/apt,2.0,69.2,9.0,354.0,2
Manhattan,Entire home/apt,2.0,56.5,10.0,41.0,2
Manhattan,Entire home/apt,2.0,82.5,0.0,107.0,2
Brooklyn,Entire home/apt,2.0,91.0,92.0,90.0,3
Bronx,Entire home/apt,1.0,44.9,4.0,84.0,1
Manhattan,Entire home/apt,1.0,71.7,166.0,210.0,2
Manhattan,Private room,5.0,46.3,13.0,253.0,1
Bronx,Private room,3.0,21.8,18.0,326.0,0
Queens,Private room,2.0,19.7,1.0,262.0,0
Manhattan,Private room,14.0,38.2,19.0,96.0,1
Manhattan,Private room,1.0,45.3,0.0,0.0,1
Brooklyn,Private room,,41.4,,0.0,1
Manhattan,Private room,4.0,64.5,91.0,254.0,1
Brooklyn,Entire home/apt,2.0,75.1,9.0,330.0,2
Brooklyn,Private room,1.0,32.6,16.0,80.0,1
Manhattan,Entire home/apt,29.0,68.1,4.0,146.0,2
Manhattan,,3.0,87.6,6.0,67.0,3
Manhattan,Private room,2.0,51.9,35.0,28.0,1
Staten Island,Entire home/apt,2.0,,0.0,0.0,1
Brooklyn,Entire home/apt,3.0,65.4,133.0,277.0,1
,Entire home/apt,3.0,70.2,1.0,0.0,2
Brooklyn,Private room,30.0,33.2,0.0,312.0,0
Brooklyn,Private room,1.0,47.4,1.0,0.0,1
Queens,Entire home/apt,4.0,82.5,72.0,187.0,2
Queens,Entire home/apt,31.0,49.6,2.0,,1
Brooklyn,Private room,5.0,34.3,4.0,89.0,1
Manhattan,Entire home/apt,2.0,67.0,16.0,0.0,2
Brooklyn,Entire home/apt,3.0,49.0,45.0,295.0,1
Manhattan,Shared room,1.0,36.2,1.0,90.0,1
Queens,Entire home/apt,2.0,52.4,135.0,168.0,1
Brooklyn,Private room,15.0,14.0,0.0,0.0,0
Brooklyn,Entire home/apt,4.0,49.7,1.0,10.0,1
Manhattan,Entire home/apt,3.0,63.1,11.0,0.0,1
Brooklyn,Entire home/apt,3.0,48.8,38.0,197.0,1
Queens,Private room,1.0,28.8,18.0,297.0,1
Manhattan,Entire home/apt,90.0,79.5,0.0,322.0,2
,Private room,1.0,54.4,0.0,365.0,1
Manhattan,Private room,3.0,36.9,1.0,0.0,1
,Entire home/apt,1.0,47.7,109.0,241.0,1
Manhattan,Private room,3.0,58.1,65.0,0.0,1
Manhattan,Entire home/apt,30.0,65.8,1.0,336.0,1
Bronx,Private room,3.0,49.2,77.0,65.0,1
Brooklyn,Private room,5.0,44.8,6.0,0.0,1
,Private room,14.0,52.2,0.0,0.0,1
Brooklyn,Entire home/apt,7.0,23.5,0.0,0.0,0
Brooklyn,Private room,3.0,30.5,12.0,188.0,1
Brooklyn,Entire home/apt,4.0,60.6,15.0,13.0,1
Manhattan,Entire home/apt,30.0,81.7,0.0,339.0,2
Brooklyn,Entire home/apt,3.0,87.2,56.0,160.0,2
Brooklyn,Entire home/apt,30.0,71.0,0.0,188.0,2
Manhattan,Entire home/apt,3.0,45.4,5.0,0.0,1
Manhattan,Entire home/apt,4.0,77.5,12.0,3.0,2
Manhattan,Entire home/apt,4.0,61.3,4.0,0.0,1
Manhattan,Entire home/apt,30.0,63.2,1.0,122.0,1
Manhattan,Private room,,87.7,1.0,0.0,3
Brooklyn,Entire home/apt,4.0,51.0,9.0,328.0,1
Manhattan,Private room,2.0,22.8,2.0,1.0,0
Manhattan,Private room,1.0,36.9,12.0,89.0,1
Brooklyn,Private room,2.0,51.2,39.0,78.0,1
Brooklyn,Private room,15.0,40.8,0.0,0.0,1
Brooklyn,Private room,1.0,49.6,0.0,0.0,1
Manhattan,Entire home/apt,2.0,78.4,8.0,0.0,2
Manhattan,Entire home/apt,20.0,48.9,2.0,0.0,1
Manhattan,Entire home/apt,30.0,81.7,,345.0,3
Manhattan,Private room,3.0,64.1,23.0,18.0,1
Brooklyn,Entire home/apt,1.0,80.5,0.0,364.0,3
Manhattan,Private room,6.0,42.7,11.0,219.0,1
,Entire home/apt,3.0,33.8,27.0,143.0,1
Staten Island,Entire home/apt,,65.9,22.0,39.0,2
Brooklyn,Private room,10.0,36.6,15.0,0.0,1
Queens,Private room,1.0,16.7,33.0,31.0,0
Brooklyn,Private room,3.0,34.2,12.0,176.0,0
Brooklyn,Private room,1.0,32.3,10.0,0.0,1
Manhattan,Entire home/apt,30.0,83.1,0.0,188.0,2
Manhattan,Entire home/apt,,54.6,0.0,0.0,1
Brooklyn,Private room,30.0,10.5,0.0,221.0,0
Queens,,2.0,27.5,8.0,,0
Brooklyn,Private room,1.0,,3.0,0.0,2
Manhattan,Entire home/apt,30.0,65.9,1.0,365.0,2
Manhattan,Private room,2.0,38.9,0.0,0.0,1
Brooklyn,Private room,1.0,53.3,0.0,16.0,1
Manhattan,Entire home/apt,30.0,55.3,19.0,259.0,2
Brooklyn,Private room,1.0,24.7,0.0,0.0,0
Queens,Entire home/apt,1.0,56.5,36.0,70.0,1
Manhattan,Entire home/apt,1.0,75.1,0.0,0.0,2
Brooklyn,Private room,5.0,12.1,32.0,0.0,0
Queens,Private room,3.0,46.4,23.0,23.0,1
Queens,Entire home/apt,1.0,60.6,104.0,90.0,1
Queens,Entire home/apt,28.0,60.4,0.0,197.0,1
Manhattan,Entire home/apt,1.0,76.7,1.0,0.0,2
Brooklyn,Private room,28.0,50.2,13.0,319.0,1
Brooklyn,Entire home/apt,2.0,66.0,0.0,0.0,2
Manhattan,Entire home/apt,30.0,75.8,0.0,220.0,2
Manhattan,Entire home/apt,30.0,64.2,36.0,242.0,2
Queens,Private room,1.0,36.4,62.0,279.0,1
Brooklyn,,4.0,55.4,89.0,282.0,1
Manhattan,Private room,4.0,38.4,16.0,0.0,1
Queens,Entire home/apt,2.0,64.9,6.0,175.0,2
Manhattan,Entire home/apt,1.0,54.4,0.0,365.0,1
Manhattan,Private room,3.0,57.0,7.0,81.0,2
Manhattan,Entire home/apt,45.0,86.2,134.0,312.0,2
Manhattan,Entire home/apt,6.0,66.0,0.0,,2
Manhattan,Entire home/apt,2.0,87.5,2.0,0.0,3
Brooklyn,Entire home/apt,3.0,64.1,33.0,116.0,1
Brooklyn,Entire home/apt,3.0,73.3,16.0,41.0,2
Manhattan,Private room,3.0,39.6,6.0,0.0,1
Manhattan,Private room,3.0,39.1,0.0,5.0,1
Manhattan,Private room,2.0,73.6,3.0,364.0,2
Brooklyn,Private room,,53.0,6.0,0.0,1
Manhattan,Entire home/apt,3.0,50.4,3.0,301.0,1
Brooklyn,Entire home/apt,30.0,30.9,2.0,,1
Manhattan,Private room,1.0,47.5,138.0,197.0,1
Brooklyn,Private room,2.0,20.7,27.0,2.0,0
Manhattan,Entire home/apt,2.0,30.7,12.0,0.0,1
Brooklyn,Private room,7.0,44.7,0.0,0.0,1
Manhattan,Entire home/apt,6.0,77.9,1.0,52.0,3
Brooklyn,Private room,2.0,42.1,56.0,81.0,1
Manhattan,Entire home/apt,4.0,55.2,4.0,127.0,2
Brooklyn,Private room,30.0,,0.0,342.0,1
Brooklyn,Private room,1.0,46.3,18.0,33.0,1
Manhattan,Private room,1.0,56.1,14.0,0.0,1
Manhattan,Entire home/apt,2.0,67.5,98.0,237.0,1
Manhattan,Private room,1.0,65.1,0.0,365.0,1
Manhattan,Entire home/apt,1.0,73.3,4.0,4.0,2
Manhattan,Private room,2.0,29.2,23.0,104.0,1
Brooklyn,Private room,5.0,64.4,3.0,242.0,1
Brooklyn,Private room,3.0,,3.0,0.0,1
Brooklyn,Private room,1.0,30.5,0.0,0.0,0
Brooklyn,Private room,2.0,47.9,105.0,304.0,1
Queens,Entire home/apt,2.0,54.9,36.0,0.0,1
Queens,Entire home/apt,3.0,50.9,40.0,365.0,1
Queens,Entire home/apt,20.0,61.7,2.0,0.0,1
Manhattan,Private room,5.0,32.7,1.0,0.0,0
Brooklyn,Private room,2.0,34.4,20.0,0.0,1
Brooklyn,Private room,2.0,52.5,1.0,9.0,1
Manhattan,Private room,30.0,36.4,0.0,0.0,1
Brooklyn,Entire home/apt,5.0,54.4,57.0,93.0,1
Brooklyn,Private room,1.0,35.6,115.0,164.0,1
Brooklyn,Entire home/apt,1.0,66.9,131.0,241.0,1
Manhattan,Entire home/apt,2.0,76.1,6.0,0.0,3
Manhattan,Entire home/apt,3.0,,1.0,0.0,3
Brooklyn,Private room,2.0,42.4,158.0,168.0,1
Manhattan,Private room,1.0,40.9,59.0,257.0,1
Brooklyn,Private room,2.0,15.6,97.0,145.0,0
Brooklyn,Entire home/apt,4.0,47.1,68.0,267.0,1
Manhattan,Private room,4.0,14.8,1.0,81.0,0
Brooklyn,Private room,30.0,42.9,11.0,0.0,1
Queens,Private room,1.0,34.8,9.0,59.0,1
Manhattan,Shared room,14.0,33.9,0.0,322.0,0
Manhattan,Entire home/apt,30.0,75.6,16.0,,3
Brooklyn,Private room,1.0,15.0,6.0,311.0,0
,Private room,2.0,34.5,35.0,204.0,1
Manhattan,Entire home/apt,30.0,54.5,5.0,156.0,1
Brooklyn,Private room,1.0,34.3,9.0,0.0,1
Manhattan,Entire home/apt,1.0,76.3,1.0,0.0,2
Brooklyn,Shared room,2.0,51.6,4.0,135.0,1
Manhattan,Entire home/apt,29.0,71.4,0.0,311.0,2
Manhattan,Entire home/apt,30.0,86.6,2.0,332.0,3
Manhattan,Private room,4.0,30.4,2.0,0.0,1
,Entire home/apt,2.0,61.0,8.0,,1
Brooklyn,Private room,3.0,32.5,1.0,0.0,1
Manhattan,Entire home/apt,2.0,73.1,7.0,0.0,2
Manhattan,Private room,2.0,34.8,5.0,165.0,1
Brooklyn,Entire home/apt,2.0,54.6,8.0,188.0,1
Manhattan,Entire home/apt,2.0,73.1,8.0,314.0,2
Staten Island,Private room,4.0,31.5,63.0,197.0,0
Brooklyn,Entire home/apt,4.0,31.4,6.0,0.0,1
Brooklyn,Entire home/apt,1.0,58.0,58.0,0.0,1
,Entire home/apt,4.0,77.8,2.0,1.0,3
Manhattan,Entire home/apt,3.0,89.1,3.0,328.0,3
Brooklyn,Private room,1.0,52.4,0.0,0.0,1
Brooklyn,Entire home/apt,5.0,65.0,152.0,281.0,2
Brooklyn,Entire home/apt,2.0,56.2,151.0,36.0,1
Manhattan,Entire home/apt,1.0,66.3,3.0,84.0,1
Manhattan,Entire home/apt,29.0,67.0,1.0,342.0,2
Manhattan,Entire home/apt,5.0,56.2,26.0,0.0,1
Brooklyn,Entire home/apt,7.0,43.6,15.0,281.0,1
Manhattan,Private room,1.0,46.6,1.0,0.0,1
Manhattan,Private room,4.0,57.5,0.0,365.0,2
Manhattan,Entire home/apt,1.0,73.9,9.0,0.0,2
Brooklyn,Private room,21.0,20.9,16.0,0.0,0
Brooklyn,Entire home/apt,7.0,46.7,0.0,0.0,1
Manhattan,Entire home/apt,30.0,73.1,1.0,277.0,2
Brooklyn,Entire home/apt,1.0,90.3,2.0,39.0,3
Brooklyn,,,30.7,0.0,0.0,1
Queens,Entire home/apt,1.0,45.1,1.0,280.0,1
Manhattan,Entire home/apt,1.0,92.6,0.0,215.0,3
Brooklyn,Entire home/apt,2.0,65.4,16.0,0.0,1
Manhattan,Entire home/apt,2.0,67.0,18.0,0.0,1
Queens,Entire home/apt,14.0,51.4,0.0,0.0,1
Manhattan,Private room,25.0,28.1,20.0,365.0,1
Queens,Private room,2.0,19.5,29.0,16.0,0
Brooklyn,Entire home/apt,2.0,50.1,0.0,0.0,1
Manhattan,Entire home/apt,7.0,73.4,8.0,302.0,2
Brooklyn,Private room,3.0,44.2,12.0,0.0,1
Manhattan,Entire home/apt,2.0,87.1,66.0,164.0,3
Bronx,Entire home/apt,14.0,53.4,0.0,88.0,1
,Private room,1.0,32.6,64.0,22.0,0
Brooklyn,Private room,1.0,56.6,1.0,365.0,1
Manhattan,Entire home/apt,5.0,84.3,5.0,189.0,3
Brooklyn,Private room,3.0,54.9,4.0,21.0,1
Brooklyn,Private room,4.0,41.3,120.0,22.0,1
Queens,Private room,1.0,32.8,12.0,365.0,1
Manhattan,Private room,7.0,56.8,6.0,351.0,1
Queens,Private room,30.0,50.0,0.0,43.0,1
,Private room,28.0,29.4,14.0,275.0,0
Manhattan,Entire home/apt,4.0,49.3,26.0,0.0,1
Manhattan,Private room,2.0,94.9,0.0,0.0,3
Brooklyn,Private room,2.0,16.4,72.0,51.0,0
Manhattan,Entire home/apt,4.0,74.8,57.0,31.0,2
Brooklyn,Private room,1.0,52.1,0.0,83.0,1
Manhattan,Entire home/apt,3.0,59.5,0.0,0.0,2
Brooklyn,Private room,1.0,13.3,0.0,0.0,0
Brooklyn,Entire home/apt,5.0,87.4,46.0,29.0,2
Brooklyn,Private room,28.0,51.4,17.0,229.0,1
Brooklyn,Entire home/apt,2.0,52.1,35.0,36.0,1
Manhattan,Entire home/apt,30.0,97.4,27.0,364.0,3
Manhattan,Entire home/apt,2.0,85.8,9.0,0.0,3
Manhattan,Private room,1.0,45.5,20.0,151.0,1
Manhattan,Entire home/apt,2.0,57.5,21.0,1.0,1
Brooklyn,Entire home/apt,4.0,46.2,54.0,0.0,1
Manhattan,Private room,5.0,48.1,5.0,0.0,1
Manhattan,Private room,5.0,56.6,3.0,153.0,1
Brooklyn,Entire home/apt,1.0,59.9,4.0,0.0,1
Manhattan,Private room,1.0,41.6,0.0,0.0,1
Manhattan,Entire home/apt,1.0,76.3,114.0,157.0,2
Brooklyn,Private room,2.0,14.3,30.0,0.0,0
Manhattan,Private room,1.0,35.5,271.0,281.0,1
Manhattan,Entire home/apt,3.0,78.2,124.0,261.0,3
Brooklyn,Private room,1.0,49.5,8.0,91.0,1
Brooklyn,Private room,3.0,34.3,,0.0,0
Brooklyn,Private room,2.0,32.1,167.0,21.0,1
Brooklyn,Entire home/apt,5.0,51.2,0.0,23.0,1
Brooklyn,Entire home/apt,30.0,43.9,99.0,151.0,1
Manhattan,Entire home/apt,4.0,79.0,6.0,0.0,2
Brooklyn,Private room,3.0,32.2,1.0,0.0,1
Queens,Private room,1.0,49.4,0.0,0.0,1
Brooklyn,,,49.2,226.0,250.0,1
Manhattan,Entire home/apt,30.0,50.5,0.0,339.0,1
Brooklyn,Private room,3.0,35.8,8.0,67.0,1
Manhattan,Private room,1.0,,0.0,300.0,1
